时间,sx,,重新排序列,dx
2017\8\8 4:48,0,,1585,0
2017\8\8 4:50,0,,1586,0
2017\8\8 4:52,0,,1587,0
2017\8\8 4:54,0,,1588,0
2017\8\8 4:56,0,,1589,0
2017\8\8 4:58,0,,1590,0
2017\8\8 5:00,0,,1591,0
2017\8\8 5:02,0,,1592,0
2017\8\8 5:04,0,,1593,0
2017\8\8 5:06,0,,1594,0
2017\8\8 5:08,0,,1595,0
2017\8\8 5:10,0,,1596,0
2017\8\8 5:12,1,,1597,0
2017\8\8 5:14,0,,1598,0
2017\8\8 5:16,0,,1599,0
2017\8\8 5:18,4,,1600,2
2017\8\8 5:20,2,,1601,1
2017\8\8 5:22,2,,1602,1
2017\8\8 5:24,1,,1603,0
2017\8\8 5:26,3,,1604,1
2017\8\8 5:28,2,,1605,1
2017\8\8 5:30,1,,1606,0
2017\8\8 5:32,13,,1607,6
2017\8\8 5:34,12,,1608,6
2017\8\8 5:36,2,,1609,1
2017\8\8 5:38,1,,1610,0
2017\8\8 5:40,9,,1611,4
2017\8\8 5:42,1,,1612,0
2017\8\8 5:44,10,,1613,5
2017\8\8 5:46,3,,1614,1
2017\8\8 5:48,11,,1615,5
2017\8\8 5:50,10,,1616,5
2017\8\8 5:52,5,,1617,2
2017\8\8 5:54,5,,1618,2
2017\8\8 5:56,6,,1619,3
2017\8\8 5:58,16,,1620,8
2017\8\8 6:00,9,,1621,4
2017\8\8 6:02,22,,1622,11
2017\8\8 6:04,29,,1623,14
2017\8\8 6:06,13,,1624,6
2017\8\8 6:08,21,,1625,10
2017\8\8 6:10,9,,1626,4
2017\8\8 6:12,9,,1627,4
2017\8\8 6:14,7,,1628,3
2017\8\8 6:16,10,,1629,5
2017\8\8 6:18,16,,1630,8
2017\8\8 6:20,9,,1631,4
2017\8\8 6:22,9,,1632,4
2017\8\8 6:24,23,,1633,11
2017\8\8 6:26,24,,1634,12
2017\8\8 6:28,17,,1635,8
2017\8\8 6:30,12,,1636,6
2017\8\8 6:32,20,,1637,10
2017\8\8 6:34,19,,1638,9
2017\8\8 6:36,22,,1639,11
2017\8\8 6:38,15,,1640,7
2017\8\8 6:40,36,,1641,18
2017\8\8 6:42,28,,1642,14
2017\8\8 6:44,18,,1643,9
2017\8\8 6:46,40,,1644,20
2017\8\8 6:48,27,,1645,13
2017\8\8 6:50,25,,1646,12
2017\8\8 6:52,32,,1647,16
2017\8\8 6:54,18,,1648,9
2017\8\8 6:56,37,,1649,18
2017\8\8 6:58,43,,1650,21
2017\8\8 7:00,39,,1651,19
2017\8\8 7:02,36,,1652,18
2017\8\8 7:04,41,,1653,20
2017\8\8 7:06,40,,1654,20
2017\8\8 7:08,24,,1655,12
2017\8\8 7:10,46,,1656,23
2017\8\8 7:12,37,,1657,18
2017\8\8 7:14,67,,1658,33
2017\8\8 7:16,46,,1659,23
2017\8\8 7:18,46,,1660,23
2017\8\8 7:20,66,,1661,33
2017\8\8 7:22,84,,1662,42
